ticket_id,text,created_at,updated_at,status,priority
INC-1063,Troubleshooting Storage capacity alert. Root cause unknown.,2024-11-19 08:56:43.004470,2024-11-19 15:56:43.004470,Resolved,Low
INC-1064,Investigating User authentication failure. Affecting Finance users.,2025-05-11 14:56:43.004470,2025-05-11 19:56:43.004470,Open,Low
INC-1065,Resolved: Printer not responding after checking firewall rules.,2025-04-01 03:56:43.004470,2025-04-02 18:56:43.004470,In Progress,Medium
INC-1066,Urgent: Email delivery delay impacts CRM availability.,2025-04-04 21:56:43.004470,2025-04-06 10:56:43.004470,Closed,Medium
INC-1067,Frequent reports of Security breach attempt for users in EMEA.,2025-01-07 00:56:43.004470,2025-01-08 18:56:43.004470,In Progress,Medium
INC-1068,Resolved: Server CPU spike after scaling up resources.,2025-04-02 18:56:43.004470,2025-04-03 14:56:43.004470,Open,Medium
INC-1069,Urgent: Storage capacity alert impacts Internal Portal availability.,2025-05-17 18:56:43.004470,2025-05-19 00:56:43.004470,In Progress,Medium
INC-1070,Frequent reports of Security breach attempt for users in EMEA.,2024-08-18 19:56:43.004470,2024-08-20 18:56:43.004470,Open,Medium
INC-1071,Urgent: API endpoint timeout impacts Internal Portal availability.,2025-03-13 15:56:43.004470,2025-03-14 18:56:43.004470,Resolved,Medium
INC-1072,Urgent: Storage capacity alert impacts CRM availability.,2025-04-26 07:56:43.004470,2025-04-26 21:56:43.004470,In Progress,High
INC-1073,Troubleshooting Server CPU spike. Root cause unknown.,2024-07-09 03:56:43.004470,2024-07-09 13:56:43.004470,Open,Low
INC-1074,Urgent: Printer not responding impacts Email Service availability.,2025-04-27 01:56:43.004470,2025-04-28 19:56:43.004470,In Progress,Low
INC-1075,Troubleshooting Printer not responding. Root cause unknown.,2024-10-24 14:56:43.004470,2024-10-25 02:56:43.004470,In Progress,High
INC-1076,Frequent reports of Security breach attempt for users in APAC.,2024-07-10 23:56:43.004470,2024-07-11 03:56:43.004470,Resolved,Low
INC-1077,Resolved: API endpoint timeout after applying patch.,2024-11-17 00:56:43.004470,2024-11-17 22:56:43.004470,Closed,High
INC-1078,Resolved: Application crash on login after applying patch.,2025-02-23 20:56:43.004470,2025-02-24 11:56:43.004470,Open,Medium
INC-1079,Resolved: API endpoint timeout after restarting service.,2025-05-11 04:56:43.004470,2025-05-11 16:56:43.004470,Closed,Low
INC-1080,Alert triggered: Network connectivity issue detected on Web-Server-02.,2024-08-19 02:56:43.004470,2024-08-20 18:56:43.004470,Open,High
INC-1081,Frequent reports of API endpoint timeout for users in APAC.,2024-06-15 07:56:43.004470,2024-06-17 00:56:43.004470,Resolved,Medium
INC-1082,Urgent: User authentication failure impacts Email Service availability.,2025-03-23 16:56:43.004470,2025-03-24 20:56:43.004470,Open,Medium
INC-1083,Investigating API endpoint timeout. Affecting Marketing users.,2024-10-28 00:56:43.004470,2024-10-28 04:56:43.004470,In Progress,Medium
INC-1084,Investigating User authentication failure. Affecting Finance users.,2025-04-03 18:56:43.004470,2025-04-04 18:56:43.004470,Resolved,Low
INC-1085,Resolved: User authentication failure after restarting service.,2025-05-18 11:56:43.004470,2025-05-19 11:56:43.004470,Resolved,Medium
INC-1086,Frequent reports of Server CPU spike for users in Global.,2025-05-14 02:56:43.004470,2025-05-15 09:56:43.004470,In Progress,Medium
INC-1087,Troubleshooting User authentication failure. Root cause unknown.,2024-11-11 18:56:43.004470,2024-11-12 20:56:43.004470,In Progress,Low
INC-1088,Investigating Server CPU spike. Affecting Finance users.,2024-11-28 17:56:43.004470,2024-11-29 06:56:43.004470,Open,High
INC-1089,Investigating User authentication failure. Affecting HR users.,2025-03-02 11:56:43.004470,2025-03-03 20:56:43.004470,Closed,High
INC-1090,Alert triggered: API endpoint timeout detected on Web-Server-02.,2025-02-13 00:56:43.004470,2025-02-14 00:56:43.004470,Resolved,High
INC-1091,Frequent reports of Storage capacity alert for users in EMEA.,2024-07-10 15:56:43.004470,2024-07-10 17:56:43.004470,Closed,Low
INC-1092,Investigating Network connectivity issue. Affecting IT users.,2025-03-05 03:56:43.004470,2025-03-05 20:56:43.004470,In Progress,Low
INC-1093,Troubleshooting Database performance degradation. Root cause unknown.,2024-08-01 21:56:43.004470,2024-08-02 15:56:43.004470,Open,Medium
INC-1094,Resolved: Printer not responding after scaling up resources.,2025-03-13 16:56:43.004470,2025-03-14 19:56:43.004470,Open,Medium
INC-1095,Alert triggered: Storage capacity alert detected on Network-Switch-HQ.,2025-05-10 17:56:43.004470,2025-05-12 09:56:43.004470,Open,Medium
INC-1096,Troubleshooting User authentication failure. Root cause unknown.,2025-03-27 16:56:43.004470,2025-03-28 15:56:43.004470,Open,Medium
INC-1097,Investigating Security breach attempt. Affecting Sales users.,2024-11-30 02:56:43.004470,2024-11-30 15:56:43.004470,Open,Medium
INC-1098,Urgent: Database performance degradation impacts CRM availability.,2024-06-24 05:56:43.004470,2024-06-25 19:56:43.004470,Closed,Low
INC-1099,Urgent: Server CPU spike impacts Internal Portal availability.,2024-05-30 03:56:43.004470,2024-05-30 09:56:43.004470,Open,High
